ID,MICE_ID_RAR_INDIVIDUAL,STRAIN,RACK,LOCATION,IN_SABLE,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
7860,B00002447860,C57BL/6J,6A,J5,NO,370-F,7/9/24,M,CHOW,8,0,0,0,25.35,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
7861,B00002447861,C57BL/6J,6A,K5,NO,370-F,7/9/24,M,CHOW,8,0,0,0,24.6,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
7862,B00002447862,C57BL/6J,6A,L5,NO,370-F,7/9/24,M,CHOW,8,0,0,0,24.1,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
7863,B00002447863,C57BL/6J,6A,M5,NO,370-F,7/9/24,M,CHOW,8,0,0,0,26.51,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7864,B00002447864,C57BL/6J,6A,H5,NO,370-F,7/9/24,M,CHOW,8,0,0,0,25.82,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7865,B00002447865,C57BL/6J,6A,N1,NO,370-F,7/9/24,M,CHOW,8,0,0,0,28.36,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7866,B00002447866,C57BL/6J,6A,J7,NO,370-F,7/9/24,M,CHOW,8,0,0,0,22,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7867,B00002447867,C57BL/6J,6A,K7,NO,370-F,7/9/24,M,CHOW,8,0,0,0,24.65,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7868,B00002447868,C57BL/6J,6A,I7,NO,370-F,7/9/24,M,CHOW,8,0,0,0,24,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7869,B00002447869,C57BL/6J,6A,H8,NO,370-F,7/9/24,M,CHOW,8,0,0,0,25.14,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7870,B00002447870,C57BL/6J,6A,I8,NO,370-F,7/9/24,M,CHOW,8,0,0,0,21.15,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7871,B00002447871,C57BL/6J,6A,J8,NO,370-F,7/9/24,M,CHOW,8,0,0,0,27.08,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7872,B00002447872,C57BL/6J,6A,K8,NO,370-F,7/9/24,F,CHOW,8,0,0,0,17.91,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7873,B00002447873,C57BL/6J,6A,L8,NO,370-F,7/9/24,F,CHOW,8,0,0,0,18.6,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7874,B00002447874,C57BL/6J,6A,M8,NO,370-F,7/9/24,F,CHOW,8,0,0,0,18.45,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7875,B00002447875,C57BL/6J,6A,N8,NO,370-F,7/9/24,F,CHOW,8,0,0,0,18.8,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7876,B00002447876,C57BL/6J,6A,H9,NO,370-F,7/9/24,F,CHOW,8,0,0,0,18.32,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7877,B00002447877,C57BL/6J,6A,I9,NO,370-F,7/9/24,F,CHOW,8,0,0,0,19.19,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7878,B00002447878,C57BL/6J,6A,J9,NO,370-F,7/9/24,F,CHOW,8,0,0,0,17.78,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7879,B00002447879,C57BL/6J,6A,K9,NO,370-F,7/9/24,F,CHOW,8,0,0,0,18.55,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
7880,B00002447880,C57BL/6J,6A,L9,NO,370-F,7/9/24,F,CHOW,8,0,0,0,17.57,9/3/24,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2303-40942A
